Rank,Order.1.2,Family.1.2,Binomial.1.2,Diet,Mass
207,Rodentia,Cricetidae,Phaenomys_ferrugineus,Missing,Recorded
208,Rodentia,Muridae,Taeromys_microbullatus,Missing,Missing
209,Rodentia,Cricetidae,Abrawayaomys_ruschii,Missing,Recorded
210,Rodentia,Cricetidae,Rhipidomys_modicus,Missing,Missing
211,Carnivora,Otariidae,Otaria_byronia,Missing,Recorded
212,Rodentia,Cricetidae,Rhagomys_rufescens,Missing,Recorded
213,Lagomorpha,Ochotonidae,Ochotona_coreana,Missing,Missing
214,Rodentia,Cricetidae,Rhagomys_longilingua,Missing,Recorded
215,Lagomorpha,Ochotonidae,Ochotona_mantchurica,Missing,Missing
216,Carnivora,Otariidae,Zalophus_japonicus,Missing,Recorded
217,Rodentia,Sciuridae,Petaurista_mishmiensis,Missing,Missing
218,Eulipotyphla,Soricidae,Notiosorex_villai,Missing,Recorded
219,Rodentia,Muridae,Brachiones_przewalskii,Missing,Recorded
220,Chiroptera,Molossidae,Cynomops_milleri,Recorded,Missing
221,Chiroptera,Pteropodidae,Styloctenium_wallacei,Missing,Recorded
222,Chiroptera,Pteropodidae,Styloctenium_mindorensis,Missing,Recorded
223,Chiroptera,Pteropodidae,Neopteryx_frosti,Missing,Recorded
224,Rodentia,Cricetidae,Lemmus_portenkoi,Recorded,Missing
225,Rodentia,Sciuridae,Petaurista_mechukaensis,Missing,Missing
226,Rodentia,Muridae,Praomys_rostratus,Recorded,Missing
227,Eulipotyphla,Soricidae,Notiosorex_evotis,Missing,Recorded
228,Carnivora,Otariidae,Phocarctos_hookeri,Missing,Recorded
229,Rodentia,Muridae,Gerbilliscus_boehmi,Recorded,Missing
230,Rodentia,Dasyproctidae,Dasyprocta_iacki,Missing,Recorded
231,Lagomorpha,Ochotonidae,Ochotona_syrinx,Missing,Missing
232,Cetartiodactyla,Cervidae,Antifer_ultra,Missing,Recorded
233,Chiroptera,Vespertilionidae,Eptesicus_isabellinus,Missing,Missing
234,Eulipotyphla,Talpidae,Mogera_uchidai,Missing,Recorded
235,Chiroptera,Hipposideridae,Hipposideros_hypophyllus,Recorded,Missing
236,Rodentia,Muridae,Conilurus_capricornensis,Missing,Missing
237,Eulipotyphla,Soricidae,Notiosorex_cockrumi,Missing,Recorded
238,Eulipotyphla,Soricidae,Myosorex_kihaulei,Missing,Recorded
239,Rodentia,Cricetidae,Blanfordimys_bucharensis,Recorded,Missing
240,Rodentia,Cricetidae,Thalpomys_lasiotis,Missing,Recorded
241,Rodentia,Cricetidae,Thalpomys_cerradensis,Missing,Recorded
242,Rodentia,Muridae,Pseudohydromys_germani,Recorded,Missing
243,Cetartiodactyla,Bovidae,Megalovis_guangxiensis,Missing,Missing
244,Rodentia,Muridae,Microhydromys_argenteus,Missing,Missing
245,Rodentia,Dasyproctidae,Dasyprocta_croconota,Missing,Recorded
246,Chiroptera,Pteropodidae,Epomophorus_minor,Missing,Missing
247,Eulipotyphla,Soricidae,Sylvisorex_morio,Recorded,Missing
248,Rodentia,Cricetidae,Necromys_benefactus,Missing,Missing
249,Cetartiodactyla,Delphinidae,Orcaella_heinsohni,Missing,Recorded
250,Primates,Cercopithecidae,Papio_kindae,Missing,Recorded
251,Rodentia,Cricetidae,Eothenomys_wardi,Missing,Missing
252,Diprotodontia,Pseudocheiridae,Petauroides_ayamaruensis,Missing,Recorded
253,Rodentia,Heteromyidae,Chaetodipus_artus,Recorded,Missing
254,Cetartiodactyla,Bovidae,Sivacobus_sankaliai,Missing,Recorded
255,Proboscidea,Elephantidae,Elephas_namadicus,Missing,Recorded
256,Rodentia,Nesomyidae,Eliurus_grandidieri,Missing,Recorded
257,Chiroptera,Phyllostomidae,Sturnira_perla,Missing,Missing
258,Carnivora,Mustelidae,Mustela_russelliana,Missing,Missing
259,Primates,Pitheciidae,Pithecia_chrysocephala,Missing,Recorded
260,Chiroptera,Vespertilionidae,Eudiscopus_denticulus,Missing,Recorded
261,Rodentia,Muridae,Gerbillus_pulvinatus,Recorded,Missing
262,Chiroptera,Pteropodidae,Megaloglossus_azagnyi,Missing,Missing
263,Rodentia,Gliridae,Eliomys_morpheus,Missing,Recorded
264,Carnivora,Felidae,Leopardus_guttulus,Missing,Missing
265,Rodentia,Muridae,Tarsomys_echinatus,Recorded,Missing
266,Rodentia,Cricetidae,Lenoxus_apicalis,Missing,Recorded
267,Rodentia,Muridae,Rhagamys_orthodon,Missing,Missing
268,Carnivora,Mustelidae,Mustela_tonkinensis,Missing,Missing
269,Chiroptera,Vespertilionidae,Kerivoula_lenis,Missing,Recorded
270,Chiroptera,Phyllostomidae,Sturnira_koopmanhilli,Missing,Missing
271,Rodentia,Muridae,Apodemus_avicennicus,Missing,Missing
272,Chiroptera,Vespertilionidae,Laephotis_wintoni,Missing,Recorded
273,Rodentia,Muridae,Gerbillus_burtoni,Recorded,Missing
274,Rodentia,Muridae,Myomyscus_brockmani,Missing,Recorded
275,Rodentia,Muridae,Diplothrix_legata,Missing,Recorded
276,Rodentia,Muridae,Pseudohydromys_patriciae,Missing,Missing
277,Rodentia,Cricetidae,Volemys_millicens,Missing,Missing
278,Chiroptera,Phyllostomidae,Desmodus_puntajudensis,Missing,Recorded
279,Primates,Cercopithecidae,Piliocolobus_temminckii,Missing,Missing
280,Rodentia,Chinchillidae,Lagidium_ahuacaense,Missing,Recorded
281,Eulipotyphla,Soricidae,Crocidura_hispida,Recorded,Missing
282,Rodentia,Muridae,Anonymomys_mindorensis,Missing,Recorded
283,Rodentia,Muridae,Pseudohydromys_sandrae,Missing,Missing
284,Chiroptera,Pteropodidae,Megaerops_ecaudatus,Missing,Recorded
285,Chiroptera,Pteropodidae,Megaerops_niphanae,Missing,Recorded
286,Chiroptera,Pteropodidae,Megaerops_wetmorei,Missing,Recorded
287,Chiroptera,Pteropodidae,Megaerops_kusnotoi,Missing,Recorded
288,Eulipotyphla,Soricidae,Crocidura_desperata,Recorded,Missing
289,Cetartiodactyla,Bovidae,CapriniGen_spA,Missing,Missing
290,Rodentia,Muridae,Pseudohydromys_berniceae,Missing,Missing
291,Rodentia,Muridae,Arvicanthis_neumanni,Recorded,Missing
292,Lagomorpha,Leporidae,Aztlanolagus_agilis,Missing,Recorded
293,Carnivora,Procyonidae,Nasuella_meridensis,Missing,Missing
294,Pholidota,Manidae,Manis_paleojavanica,Missing,Recorded
295,Rodentia,Muridae,Pogonomelomys_mayeri,Missing,Recorded
296,Rodentia,Muridae,Pogonomelomys_brassi,Missing,Recorded
297,Rodentia,Muridae,Pogonomelomys_bruijnii,Missing,Recorded
298,Rodentia,Muridae,Uromys_siebersi,Recorded,Missing
299,Cetartiodactyla,Cervidae,Praemegaceros_cazioti,Missing,Recorded
300,Cetartiodactyla,Phocoenidae,Neophocaena_asiaeorientalis,Missing,Missing
301,Eulipotyphla,Soricidae,Crocidura_thomensis,Recorded,Missing
